true_label,predicted_label,count,rate_within_true_label,true_total
MissingDelimiter,NoError,1556,0.7050294517444495,2207
ImportError,NoError,856,1.0,856
MissingInclude,NoError,805,1.0,805
DivisionByZero,NoError,726,1.0,726
UnmatchedBracket,NoError,458,0.2237420615534929,2047
TypeMismatch,NoError,386,1.0,386
UnclosedString,NoError,370,0.194634402945818,1901
UnusedVariable,NoError,327,1.0,327
UndeclaredIdentifier,NoError,261,1.0,261
DuplicateDefinition,NoError,217,1.0,217
UnreachableCode,NoError,167,1.0,167
InvalidAssignment,NoError,165,0.6991525423728814,236
InfiniteLoop,NoError,141,1.0,141
LineTooLong,NoError,128,0.9922480620155039,129
MutableDefault,NoError,76,1.0,76
InvalidAssignment,SyntaxError,71,0.3008474576271186,236
WildcardImport,NoError,36,1.0,36
UnclosedString,UnmatchedBracket,5,0.0026301946344029457,1901
NoError,UnmatchedBracket,3,5.926511260371395e-05,50620
LineTooLong,IndentationError,1,0.007751937984496124,129
