label,precision,recall,f1,support
DivisionByZero,0.0,0.0,0.0,726
DuplicateDefinition,0.0,0.0,0.0,217
ImportError,0.0,0.0,0.0,856
IndentationError,0.9977426636568849,1.0,0.9988700564971752,442
InfiniteLoop,0.0,0.0,0.0,141
InvalidAssignment,0.0,0.0,0.0,236
LineTooLong,0.0,0.0,0.0,129
MissingDelimiter,1.0,0.2949705482555505,0.4555633310006998,2207
MissingInclude,0.0,0.0,0.0,805
MutableDefault,0.0,0.0,0.0,76
NoError,0.8834915869580395,0.9999407348873963,0.9381162428645563,50620
SyntaxError,0.0,0.0,0.0,0
TypeMismatch,0.0,0.0,0.0,386
UnclosedString,1.0,0.802735402419779,0.8905748468047855,1901
UndeclaredIdentifier,0.0,0.0,0.0,261
UnmatchedBracket,0.9949906073888541,0.776257938446507,0.8721185510428101,2047
UnreachableCode,0.0,0.0,0.0,167
UnusedVariable,0.0,0.0,0.0,327
WildcardImport,0.0,0.0,0.0,36
