true_label,predicted_label,count,rate_within_true_label,true_total
MissingInclude,NoError,805,1.0,805
ImportError,NoError,409,0.477803738317757,856
MissingDelimiter,NoError,388,0.17580425917535117,2207
TypeMismatch,NoError,385,0.9974093264248705,386
ImportError,MissingDelimiter,370,0.4322429906542056,856
DivisionByZero,NoError,325,0.4476584022038568,726
UnusedVariable,NoError,316,0.9663608562691132,327
UndeclaredIdentifier,NoError,251,0.9616858237547893,261
InvalidAssignment,NoError,169,0.7161016949152542,236
DuplicateDefinition,NoError,72,0.3317972350230415,217
InfiniteLoop,NoError,41,0.2907801418439716,141
LineTooLong,NoError,26,0.20155038759689922,129
UnreachableCode,NoError,9,0.05389221556886228,167
UnclosedString,UnmatchedBracket,5,0.0026301946344029457,1901
InvalidAssignment,UndeclaredIdentifier,3,0.012711864406779662,236
WildcardImport,ImportError,2,0.05555555555555555,36
MutableDefault,NoError,1,0.013157894736842105,76
LineTooLong,IndentationError,1,0.007751937984496124,129
InvalidAssignment,TypeMismatch,1,0.00423728813559322,236
UndeclaredIdentifier,ImportError,1,0.0038314176245210726,261
ImportError,WildcardImport,1,0.0011682242990654205,856
UnclosedString,NoError,1,0.0005260389268805891,1901
