,DivisionByZero,DuplicateDefinition,ImportError,IndentationError,InfiniteLoop,InvalidAssignment,LineTooLong,MissingDelimiter,MissingInclude,MutableDefault,NoError,SyntaxError,TypeMismatch,UnclosedString,UndeclaredIdentifier,UnmatchedBracket,UnreachableCode,UnusedVariable,WildcardImport
DivisionByZero,401,0,0,0,0,0,0,0,0,0,325,0,0,0,0,0,0,0,0
DuplicateDefinition,0,145,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0
ImportError,0,0,76,0,0,0,0,370,0,0,409,0,0,0,0,0,0,0,1
IndentationError,0,0,0,442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
InfiniteLoop,0,0,0,0,100,0,0,0,0,0,41,0,0,0,0,0,0,0,0
InvalidAssignment,0,0,0,0,0,63,0,0,0,0,169,0,1,0,3,0,0,0,0
LineTooLong,0,0,0,1,0,0,102,0,0,0,26,0,0,0,0,0,0,0,0
MissingDelimiter,0,0,0,0,0,0,0,1819,0,0,388,0,0,0,0,0,0,0,0
MissingInclude,0,0,0,0,0,0,0,0,0,0,805,0,0,0,0,0,0,0,0
MutableDefault,0,0,0,0,0,0,0,0,0,75,1,0,0,0,0,0,0,0,0
NoError,0,0,0,0,0,0,0,0,0,0,50620,0,0,0,0,0,0,0,0
SyntaxError,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TypeMismatch,0,0,0,0,0,0,0,0,0,0,385,0,1,0,0,0,0,0,0
UnclosedString,0,0,0,0,0,0,0,0,0,0,1,0,0,1895,0,5,0,0,0
UndeclaredIdentifier,0,0,1,0,0,0,0,0,0,0,251,0,0,0,9,0,0,0,0
UnmatchedBracket,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2047,0,0,0
UnreachableCode,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,158,0,0
UnusedVariable,0,0,0,0,0,0,0,0,0,0,316,0,0,0,0,0,0,11,0
WildcardImport,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34
