label,precision,recall,f1,support
DivisionByZero,1.0,0.5523415977961432,0.7116237799467613,726
DuplicateDefinition,1.0,0.6682027649769585,0.8011049723756906,217
ImportError,0.9620253164556962,0.08878504672897196,0.1625668449197861,856
IndentationError,0.9977426636568849,1.0,0.9988700564971752,442
InfiniteLoop,1.0,0.7092198581560284,0.8298755186721991,141
InvalidAssignment,1.0,0.2669491525423729,0.42140468227424754,236
LineTooLong,1.0,0.7906976744186046,0.8831168831168831,129
MissingDelimiter,0.8309730470534491,0.8241957408246489,0.8275705186533212,2207
MissingInclude,0.0,0.0,0.0,805
MutableDefault,1.0,0.9868421052631579,0.9933774834437086,76
NoError,0.9405775019510201,1.0,0.9693789616806143,50620
SyntaxError,0.0,0.0,0.0,0
TypeMismatch,0.5,0.0025906735751295338,0.005154639175257732,386
UnclosedString,1.0,0.9968437664387164,0.9984193888303478,1901
UndeclaredIdentifier,0.75,0.034482758620689655,0.06593406593406594,261
UnmatchedBracket,0.9975633528265108,1.0,0.9987801902903148,2047
UnreachableCode,1.0,0.9461077844311377,0.9723076923076923,167
UnusedVariable,1.0,0.03363914373088685,0.06508875739644969,327
WildcardImport,0.9714285714285714,0.9444444444444444,0.9577464788732395,36
