true_label,predicted_label,count,rate_within_true_label,true_total
DivisionByZero,NoError,726,1.0,726
TypeMismatch,NoError,386,1.0,386
UnusedVariable,NoError,327,1.0,327
UndeclaredIdentifier,NoError,261,1.0,261
DuplicateDefinition,NoError,217,1.0,217
UnreachableCode,NoError,167,1.0,167
InvalidAssignment,NoError,165,0.6991525423728814,236
InfiniteLoop,NoError,141,1.0,141
ImportError,NoError,133,1.0,133
LineTooLong,NoError,128,0.9922480620155039,129
MissingDelimiter,NoError,102,0.26153846153846155,390
UnmatchedBracket,NoError,87,0.33079847908745247,263
MissingInclude,NoError,85,1.0,85
MutableDefault,NoError,76,1.0,76
InvalidAssignment,SyntaxError,71,0.3008474576271186,236
WildcardImport,NoError,36,1.0,36
UnclosedString,NoError,14,0.08974358974358974,156
UnclosedString,UnmatchedBracket,5,0.03205128205128205,156
NoError,UnmatchedBracket,3,0.004166666666666667,720
LineTooLong,IndentationError,1,0.007751937984496124,129
