,DivisionByZero,DuplicateDefinition,ImportError,IndentationError,InfiniteLoop,InvalidAssignment,LineTooLong,MissingDelimiter,MissingInclude,MutableDefault,NoError,SyntaxError,TypeMismatch,UnclosedString,UndeclaredIdentifier,UnmatchedBracket,UnreachableCode,UnusedVariable,WildcardImport
DivisionByZero,553,0,0,0,0,0,0,0,0,0,173,0,0,0,0,0,0,0,0
DuplicateDefinition,0,164,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0
ImportError,0,0,86,0,0,0,0,4,0,0,42,0,0,0,0,0,0,0,1
IndentationError,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
InfiniteLoop,0,0,0,0,110,0,0,0,0,0,31,0,0,0,0,0,0,0,0
InvalidAssignment,0,0,0,0,0,83,0,0,0,0,149,0,1,0,3,0,0,0,0
LineTooLong,0,0,0,1,0,0,102,0,0,0,26,0,0,0,0,0,0,0,0
MissingDelimiter,0,0,0,0,0,0,0,369,0,0,21,0,0,0,0,0,0,0,0
MissingInclude,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0
MutableDefault,0,0,0,0,0,0,0,0,0,75,1,0,0,0,0,0,0,0,0
NoError,0,0,0,0,0,0,20,0,0,0,700,0,0,0,0,0,0,0,0
SyntaxError,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TypeMismatch,0,0,0,0,0,0,0,0,0,0,369,0,17,0,0,0,0,0,0
UnclosedString,0,0,0,0,0,0,0,0,0,0,3,0,0,148,0,5,0,0,0
UndeclaredIdentifier,0,0,1,0,0,0,0,0,0,0,192,0,0,0,68,0,0,0,0
UnmatchedBracket,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,262,0,0,0
UnreachableCode,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,159,0,0
UnusedVariable,0,0,0,0,0,0,0,0,0,0,249,0,0,0,0,0,0,78,0
WildcardImport,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34
