label,precision,recall,f1,support
DivisionByZero,1.0,0.7617079889807162,0.8647380766223611,726
DuplicateDefinition,1.0,0.7557603686635944,0.8608923884514436,217
ImportError,0.9662921348314607,0.589041095890411,0.7319148936170212,146
IndentationError,0.9876543209876543,1.0,0.9937888198757764,80
InfiniteLoop,1.0,0.7801418439716312,0.8764940239043825,141
InvalidAssignment,1.0,0.3516949152542373,0.5203761755485894,236
LineTooLong,1.0,0.7906976744186046,0.8831168831168831,129
MissingDelimiter,0.9724310776942355,0.9216152019002375,0.946341463414634,421
MissingInclude,0.0,0.0,0.0,92
MutableDefault,1.0,0.9868421052631579,0.9933774834437086,76
NoError,0.5283757338551859,1.0,0.6914212548015364,1620
SyntaxError,0.0,0.0,0.0,0
TypeMismatch,0.9444444444444444,0.04404145077720207,0.08415841584158415,386
UnclosedString,1.0,0.882051282051282,0.9373297002724795,195
UndeclaredIdentifier,0.9577464788732394,0.26053639846743293,0.4096385542168674,261
UnmatchedBracket,0.9829931972789115,0.9763513513513513,0.9796610169491526,296
UnreachableCode,1.0,0.9520958083832335,0.9754601226993864,167
UnusedVariable,0.9629629629629629,0.23853211009174313,0.3823529411764706,327
WildcardImport,0.9714285714285714,0.9444444444444444,0.9577464788732395,36
