sample_id,language,expected_label_norm,core_predicted,core_confidence,snippet,source_path,source_line,corpus_type,generator,seed
e748067d30a6d49688a5,C,MissingDelimiter,NoError,1.0,continue,dataset\merged\all_errors_v2.csv,3,dataset,dataset/merged/all_errors_v2.csv,20260305
c3321304c61fe4f78dbf,Java,InvalidAssignment,NoError,1.0,57 = sum_val;,dataset\merged\all_errors_v2.csv,2077,dataset,dataset/merged/all_errors_v2.csv,20260305
f6ddd574f9bd9d6d9b61,Java,UnusedVariable,NoError,1.0,"int idx = 55;\nSystem.out.println(""done"");",dataset\merged\all_errors_v2.csv,2211,dataset,dataset/merged/all_errors_v2.csv,20260305
a8b1fcf81c8b6b283230,Java,UnusedVariable,NoError,1.0,"int data = 80;\nSystem.out.println(""done"");",dataset\merged\all_errors_v2.csv,2210,dataset,dataset/merged/all_errors_v2.csv,20260305
21f143948e95989a952e,Java,UnusedVariable,NoError,1.0,"int num = 77;\nSystem.out.println(""done"");",dataset\merged\all_errors_v2.csv,2209,dataset,dataset/merged/all_errors_v2.csv,20260305
4f9a7390c1f673c8ae2f,Java,UnusedVariable,NoError,1.0,"int z = 20;\nSystem.out.println(""done"");",dataset\merged\all_errors_v2.csv,2208,dataset,dataset/merged/all_errors_v2.csv,20260305
5ee0dd98cc92f3392fde,Java,UnusedVariable,NoError,1.0,"int width = 52;\nSystem.out.println(""done"");",dataset\merged\all_errors_v2.csv,2207,dataset,dataset/merged/all_errors_v2.csv,20260305
ea984a37255f9bbd875e,Java,UnusedVariable,NoError,1.0,"int height = 30;\nSystem.out.println(""done"");",dataset\merged\all_errors_v2.csv,2206,dataset,dataset/merged/all_errors_v2.csv,20260305
0d8f72bc4aed4b5e9d99,Java,UnusedVariable,NoError,1.0,"int amount = 23;\nSystem.out.println(""done"");",dataset\merged\all_errors_v2.csv,2205,dataset,dataset/merged/all_errors_v2.csv,20260305
8b44748150909339475b,Java,UnusedVariable,NoError,1.0,"int x = 31;\nSystem.out.println(""done"");",dataset\merged\all_errors_v2.csv,2204,dataset,dataset/merged/all_errors_v2.csv,20260305
8aef5e5585de2fe1cc4f,Java,UnusedVariable,NoError,1.0,"int m = 38;\nSystem.out.println(""done"");",dataset\merged\all_errors_v2.csv,2203,dataset,dataset/merged/all_errors_v2.csv,20260305
34f1dd297c4a25f427d6,Java,UnusedVariable,NoError,1.0,"int height = 27;\nSystem.out.println(""done"");",dataset\merged\all_errors_v2.csv,2202,dataset,dataset/merged/all_errors_v2.csv,20260305
c366ee386e3d906bb9a1,Java,UnusedVariable,NoError,1.0,"int x = 6;\nSystem.out.println(""done"");",dataset\merged\all_errors_v2.csv,2201,dataset,dataset/merged/all_errors_v2.csv,20260305
9fb7b4414adc67157446,Java,UnusedVariable,NoError,1.0,"int sum_val = 74;\nSystem.out.println(""done"");",dataset\merged\all_errors_v2.csv,2200,dataset,dataset/merged/all_errors_v2.csv,20260305
c5ce9ba19145d27316e9,Java,UnusedVariable,NoError,1.0,"int sum_val = 64;\nSystem.out.println(""done"");",dataset\merged\all_errors_v2.csv,2199,dataset,dataset/merged/all_errors_v2.csv,20260305
6d031e907ca4a0f92acf,Java,InvalidAssignment,NoError,1.0,67 = num;,dataset\merged\all_errors_v2.csv,2084,dataset,dataset/merged/all_errors_v2.csv,20260305
1b990515bf80693add91,Java,InvalidAssignment,NoError,1.0,"int height = ""phi"";",dataset\merged\all_errors_v2.csv,2083,dataset,dataset/merged/all_errors_v2.csv,20260305
03da599a46c8e071c72b,Java,InvalidAssignment,NoError,1.0,"int length = ""info"";",dataset\merged\all_errors_v2.csv,2082,dataset,dataset/merged/all_errors_v2.csv,20260305
fb4519fc1d0318c1dbd8,Java,InvalidAssignment,NoError,1.0,"int distance = ""data"";",dataset\merged\all_errors_v2.csv,2081,dataset,dataset/merged/all_errors_v2.csv,20260305
3254e96ea1b4cfbf3786,Java,InvalidAssignment,NoError,1.0,12 = distance;,dataset\merged\all_errors_v2.csv,2080,dataset,dataset/merged/all_errors_v2.csv,20260305
