language,error_type,buggy_code,fixed_code,line_no
Python,DivisionByZero,x = 10 / 0,x = 10 / 2,1.0
C,MissingDelimiter,continue,,
C,MissingInclude,int main() { sqrt(16); return 0; },"#include <math.h>
int main() { sqrt(16); return 0; }",1.0
Python,UnreachableCode,"return
print('Hi')",print('Hi'),2.0
Python,DivisionByZero,"def calculate():
    denominator = 0
    return 34 / denominator",,
C,UnclosedString,"printf(""Hello);","printf(""Hello"");",1.0
C++,InvalidAssignment,"""hello"" = str;","str = ""hello"";",1.0
Python,LineTooLong,print('This is an extremely long string that exceeds the recommended line length of 79 or 88 characters'),"print(
    'This is an extremely long string '
    'split across multiple lines'
)",1.0
Python,WildcardImport,from math import *,from math import sqrt,1.0
Java,DuplicateDefinition,"int add() { return 1; }
int add() { return 2; }",int add() { return 1; },2.0
C,MissingInclude,"int main() { strlen(""test""); return 0; }","#include <string.h>
int main() { strlen(""test""); return 0; }",1.0
Python,NoError,"mixed = [1, 'two', 3.0, True]","mixed = [1, 'two', 3.0, True]",
C++,UnusedVariable,"int x = 10;
cout << ""Hi"";","cout << ""Hi"";",1.0
Python,NameError,print(name),"name = 'John'
print(name)",1.0
C,UnusedVariable,char c = 'a'; int result = 5;,int result = 5;,1.0
Python,IndentationError,"def calculate(a, b):
    if a > b:
    return a
    return b",,
Java,InfiniteLoop,for (;;) { },for (int i = 0; i < 10; i++) { },1.0
C++,MissingDelimiter,int y = 20,int y = 20;,1.0
Python,IndentationError,"def func():
print('Hi')","def func():
    print('Hi')",2.0
Python,MissingImport,"data = json.loads('{""key"": ""value""}')
print(data)",,
Python,TypeMismatch,x = '5' + 3,x = int('5') + 3,1.0
Python,UnclosedString,"greeting = 'Hello ' + name + '!
print(greeting)",,
Java,MissingDelimiter,return result,return result;,1.0
C++,UnclosedString,"string s = ""hello;","string s = ""hello"";",1.0
Java,InvalidAssignment,"""hello"" = str;","str = ""hello"";",1.0
Python,TypeMismatch,"x = [1, 2, 3] + 20",,
Java,TypeMismatch,"int x = ""5"";",int x = 5;,1.0
Python,NameError,print(undefined_var),"undefined_var = 10
print(undefined_var)",1.0
Python,ImportError,"import maths
maths.sqrt(4)","import math
math.sqrt(4)",1.0
Python,DivisionByZero,x = 10 / 0,x = 10 / 2,1.0
Python,NameError,print(name),"name = 'John'
print(name)",1.0
Python,DuplicateDefinition,"x = 10
y = 20
x = 30
z = x + y",,
Java,UnusedVariable,"int x = 10;
System.out.println(""Hi"");","System.out.println(""Hi"");",1.0
Java,MissingDelimiter,"String name = ""value""",,
Python,UnclosedString,print('Hello),print('Hello'),1.0
Python,MutableDefault,"def merge(new_data, existing={}):
    existing.update(new_data)
    return existing",,
Java,UndeclaredIdentifier,"public class Main {
    public static void main(String[] args) {
        for (int i = 0; i < maxSize; i++) {
            System.out.println(i);
        }
    }
}",,
Python,DivisionByZero,result = 100 / (x - x),"result = 100 / max(x - x, 1)",1.0
Python,WildcardImport,from math import *,"from math import sqrt, pi",1.0
Python,MissingImport,"soup = BeautifulSoup(html, 'html.parser')
print(soup.title)",,
Python,UnclosedString,print('Hello World),,
C++,UnmatchedBracket,"int main() {
  cout << ""Hi"";
","int main() {
  cout << ""Hi"";
}",2.0
Java,MissingDelimiter,boolean flag = true,,
C,MissingDelimiter,return 75,,
Python,WildcardImport,from math import *,from math import sqrt,1.0
Java,TypeMismatch,"int x = ""5"" + 3;","int x = Integer.parseInt(""5"") + 3;",1.0
Java,TypeMismatch,byte b = 200;,byte b = (byte)200;,1.0
Java,MissingDelimiter,int x = 10,int x = 10;,1.0
