language,actual,predicted
Python,DuplicateDefinition,DuplicateDefinition
Python,NameError,ImportError
C,TypeMismatch,TypeMismatch
C++,UnreachableCode,UnreachableCode
C++,UnusedVariable,UnusedVariable
Java,UnreachableCode,UnreachableCode
C,UnreachableCode,UnreachableCode
Python,MutableDefault,MutableDefault
C,UnusedVariable,UnusedVariable
C++,UnclosedString,UnclosedString
Python,IndentationError,IndentationError
Python,IndentationError,InfiniteLoop
Python,IndentationError,IndentationError
Python,NoError,DivisionByZero
Python,InfiniteLoop,InfiniteLoop
C,MissingDelimiter,MissingDelimiter
Python,UnmatchedBracket,UnmatchedBracket
Python,TypeMismatch,TypeMismatch
Python,TypeMismatch,TypeMismatch
C,MissingDelimiter,MissingDelimiter
C++,MissingInclude,MissingDelimiter
Python,DivisionByZero,DivisionByZero
Python,MutableDefault,MutableDefault
C++,MissingDelimiter,MissingDelimiter
C,DivisionByZero,DivisionByZero
C,UnreachableCode,UnreachableCode
C,InvalidAssignment,TypeMismatch
C,NoError,NoError
C,TypeMismatch,TypeMismatch
C++,InvalidAssignment,InvalidAssignment
C,InvalidAssignment,InvalidAssignment
C,DivisionByZero,DivisionByZero
Java,MissingDelimiter,MissingDelimiter
C,TypeMismatch,TypeMismatch
Python,UnusedVariable,UnusedVariable
C,UnmatchedBracket,UnmatchedBracket
C++,MissingDelimiter,MissingDelimiter
Python,DivisionByZero,DivisionByZero
Python,DivisionByZero,DivisionByZero
Python,ImportError,WildcardImport
Python,TypeMismatch,UnreachableCode
C++,MissingDelimiter,MissingDelimiter
C,DivisionByZero,DivisionByZero
Python,LineTooLong,LineTooLong
C,UnusedVariable,UnusedVariable
Python,TypeMismatch,TypeMismatch
Python,MissingDelimiter,MissingDelimiter
C,MissingInclude,MissingInclude
C++,LineTooLong,LineTooLong
C,InvalidAssignment,InvalidAssignment
Python,TypeMismatch,TypeMismatch
C,TypeMismatch,InvalidAssignment
C,UnmatchedBracket,UnmatchedBracket
Python,UnclosedString,UnclosedString
C++,TypeMismatch,TypeMismatch
Java,InvalidAssignment,InvalidAssignment
Python,ImportError,NoError
Python,WildcardImport,WildcardImport
Python,UnclosedString,UnclosedString
Python,MissingDelimiter,MissingDelimiter
Python,UndeclaredIdentifier,MissingDelimiter
Java,TypeMismatch,TypeMismatch
Python,UnmatchedBracket,UnmatchedBracket
Python,TypeMismatch,TypeMismatch
Java,TypeMismatch,TypeMismatch
Python,InvalidAssignment,InvalidAssignment
Python,LineTooLong,LineTooLong
Python,UnmatchedBracket,UnmatchedBracket
Python,NameError,MissingImport
Python,DuplicateDefinition,IndentationError
Python,NoError,IndentationError
C++,MissingDelimiter,NoError
Java,DivisionByZero,DivisionByZero
Java,UnmatchedBracket,UnmatchedBracket
C,MissingDelimiter,MissingDelimiter
C,TypeMismatch,TypeMismatch
Python,UnclosedString,UnclosedString
C++,InfiniteLoop,InfiniteLoop
Java,UnmatchedBracket,UnmatchedBracket
C,DuplicateDefinition,DuplicateDefinition
Java,MissingDelimiter,MissingDelimiter
C++,MissingInclude,MissingInclude
C++,UnmatchedBracket,UnmatchedBracket
C++,DivisionByZero,DivisionByZero
Python,ImportError,ImportError
C++,MissingDelimiter,MissingDelimiter
Python,UnmatchedBracket,UnmatchedBracket
C,MissingInclude,MissingInclude
Java,InvalidAssignment,InvalidAssignment
Python,MutableDefault,MutableDefault
C++,UndeclaredIdentifier,UndeclaredIdentifier
Java,DivisionByZero,DivisionByZero
C,DivisionByZero,DivisionByZero
C,UnusedVariable,UnusedVariable
C,NoError,NoError
C,DivisionByZero,DivisionByZero
Java,NoError,NoError
Java,DivisionByZero,DivisionByZero
Java,UnmatchedBracket,UnmatchedBracket
Java,UnmatchedBracket,UnmatchedBracket
Java,UnreachableCode,UnreachableCode
C++,DivisionByZero,DivisionByZero
Python,DivisionByZero,DivisionByZero
Java,UnreachableCode,UnreachableCode
C,InfiniteLoop,InfiniteLoop
C++,LineTooLong,LineTooLong
Java,InvalidAssignment,InvalidAssignment
C,DivisionByZero,DivisionByZero
Java,DuplicateDefinition,NoError
Python,LineTooLong,LineTooLong
C,MissingInclude,TypeMismatch
Python,InvalidAssignment,InvalidAssignment
Python,UnreachableCode,UnreachableCode
Python,MissingDelimiter,MissingDelimiter
Python,DivisionByZero,DivisionByZero
C,UnclosedString,UnclosedString
Python,UnusedVariable,MissingDelimiter
Python,TypeMismatch,TypeMismatch
C,InfiniteLoop,InfiniteLoop
Python,ImportError,ImportError
Python,TypeMismatch,TypeMismatch
C++,DivisionByZero,DivisionByZero
Python,UndeclaredIdentifier,MissingDelimiter
Python,UnclosedString,UnclosedString
Python,ImportError,WildcardImport
C,TypeMismatch,TypeMismatch
Java,DivisionByZero,DivisionByZero
Python,DuplicateDefinition,DuplicateDefinition
Python,MissingImport,TypeMismatch
C++,TypeMismatch,TypeMismatch
Python,DivisionByZero,DivisionByZero
Java,DuplicateDefinition,DuplicateDefinition
C++,LineTooLong,LineTooLong
C++,TypeMismatch,TypeMismatch
Python,MutableDefault,MutableDefault
Java,UnclosedString,UnclosedString
C,MissingDelimiter,MissingDelimiter
Java,UnreachableCode,UnreachableCode
Java,InfiniteLoop,InfiniteLoop
